*
* The data are taken from:
*
*"Jet production in ep collisions at low Q2 and determination of alphas"
* By H1 Collaboration (February 2010)
* Published in: Eur.Phys.J.C67:1-24,2010. 
* e-Print: 	arXiv:0911.5678 [hep-ex] 
*
! Data as listed in Table 5 of the original publication
! THeory not corrected for Z0 exchange (no information given in paper)
! 
! 5.0 7.0     5.0  10.0  109.    0.7   4.9   2.1  0.4  0.5  4.3  1.5   0.87   3.3
&Data
   Name = 'H1 low Q2 inclusive jet 99-00 data'
   Reaction  = 'FastNLO ep jets'

   NDATA = 28
   NColumn = 14

   ColumnType = 4*'Bin','Sigma',7*'Error',2*'Bin'
   ColumnName = 'q2min', 'q2max', 'ptmin', 'ptmax','Sigma','stat', 'uncor',
              'mod_DESY-09-162', 'Ee_DESY-09-162','Eth_DESY-09-162', 'hfs_DESY-09-162', 'lumi_DESY-09-162', 'NPCorr', 'kfac'

   NInfo   = 4
   DataInfo = 319.,     1.                 ,3.,       3. 
   CInfo    = 'sqrt(S)', 'PublicationUnits','MurDef', 'MufDef' 
   
   IndexDataset = 37

   TheoryInfoFile = 'theoryfiles/fnh5201.tab'
   TheoryType     = 'FastNLO'

   Percent   = True, True, True, True, True, True, True
&End
5.0 7.0     5.0  10.0  109.    10.0   0.0   0.0 0.0  0.0  0.0  0.0   0.87   3.28
5.0 7.0     10.0 15.0  12.9    1.8   4.4   2.7  0.1  0.1  2.9  1.5   0.91   2.67
5.0 7.0     15.0 20.0  2.77    3.8   7.6   3.4  0.2  0.1  5.6  1.5   0.95   2.36
5.0 7.0     20.0 80.0  0.104   6.4   11.4  6.6  1.0  1.0  6.7  1.5   0.95   2.02
7.0 10.     5.0  10.0  72.1    0.7   5.3   2.9  0.3  0.4  4.4  1.5   0.88   3.04
7.0 10.     10.0 15.0  9.02    1.7   4.7   2.9  0.1  0.5  3.3  1.5   0.92   2.54
7.0 10.     15.0 20.0  1.93    3.4   11.4  9.4  0.3  0.8  5.4  1.5   0.95   2.27
7.0 10.     20.0 80.0  0.0729  5.8   17.8  15.5 0.1  0.6  6.8  1.5   0.95   1.96
10.0 15.0   5.0  10.0  42.8    0.6   5.3   2.7  0.2  0.6  4.4  1.5   0.89   2.77
10.0 15.0   10.0 15.0  5.45    1.6   5.0   2.8  0.2  0.7  3.7  1.5   0.92   2.40
10.0 15.0   15.0 20.0  1.12    3.3   8.9   6.0  0.2  0.8  5.6  1.5   0.95   2.17
10.0 15.0   20.0 80.0  0.0484  5.5   15.0  12.0 0.7  1.0  7.0  1.5   0.95   1.89
15.0 20.0   5.0  10.0  26.7    0.8   5.1   2.7  0.1  0.6  4.2  1.5   0.90   2.53
15.0 20.0   10.0 15.0  3.68    1.9   5.4   2.7  0.1  0.7  4.2  1.5   0.93   2.27
15.0 20.0   15.0 20.0  0.783   3.9   9.2   6.1  0.4  0.8  5.7  1.5   0.94   2.08
15.0 20.0   20.0 80.0  0.0326  6.5   13.0  8.9  0.5  0.8  6.8  1.5   0.95   1.83
20.0 30.0   5.0  10.0  16.4    0.7   4.8   2.5  0.3  0.5  4.1  1.5   0.90   2.30
20.0 30.0   10.0 15.0  2.21    1.8   5.4   2.5  0.1  0.4  4.4  1.5   0.94   2.14
20.0 30.0   15.0 20.0  0.508   3.5   7.6   2.8  0.3  0.6  6.1  1.5   0.95   1.99
20.0 30.0   20.0 80.0  0.0198  5.6   11.2  7.1  0.4  0.6  6.7  1.5   0.96   1.77
30.0 40.0   5.0  10.0  9.72    1.0   5.1   3.2  0.1  0.6  3.8  1.5   0.91   2.08
30.0 40.0   10.0 15.0  1.65    2.2   6.2   3.3  0.2  0.5  4.6  1.5   0.95   2.00 
30.0 40.0   15.0 20.0  0.383   4.5   8.4   3.7  0.2  0.5  6.1  1.5   0.96   1.89
30.0 40.0   20.0 80.0  0.0120  7.5   11.8  5.4  0.7  0.6  7.3  1.5   0.94   1.70
40.0 100.0  5.0  10.0  3.37    0.8   4.5   2.8  0.1  0.7  3.4  1.5   0.91   1.78
40.0 100.0  10.0 15.0  0.614   1.7   6.7   4.2  0.2  0.6  5.0  1.5   0.96   1.79
40.0 100.0  15.0 20.0  0.146   3.3   7.8   2.8  0.4  0.6  6.4  1.5   0.94   1.73
40.0 100.0  20.0 80.0  0.00677 5.3   9.2   2.5  0.6  0.6  7.1  1.5   0.96   1.59
